Year,CPI,percentage_cpi,PCE_food_billions_of_dollars,PCE_energy_goods_services_billions_of_dollars,PCE_food_percentage,PCE_energy_goods_services_percentage,GDP in Billions,percentage_gdp,median_household_income_2021,percentage_median_income,GDP,percentage_percap_gdp,sample_thousands,first_percentile,second_percentile,third_percentile,fourth_percentile,top_five_percent
1984,103.9,,291.1,193.0916667,,,4037.614,,54744.62,,31762,,86789.0,23664.0,44289.0,68235.0,103076.0,170631.0
1985,107.6,3.56,302.95,199.5416667,4.07,3.34,4338.9805,7.46,55768.24,1.87,32920,0.78,88458.0,23911.0,44989.0,69694.0,104818.0,173192.0
1986,109.6,1.86,316.4166667,178.58333330000005,4.45,-10.5,4579.6325,5.55,57777.04,3.6,33972,0.73,89479.0,24197.0,46284.0,71832.0,108583.0,182079.0
1987,113.6,3.65,324.3166667,185.3416667,2.5,3.78,4855.21625,6.02,58467.08,1.19,34585,0.55,91124.0,24605.0,46704.0,72905.0,110184.0,184375.0
1988,118.3,4.14,342.7916667,194.075,5.7,4.71,5236.438,7.85,58949.27,0.82,35728,0.32,92830.0,24901.0,47037.0,73303.0,110685.0,187359.0
1989,124.0,4.82,365.3916667,209.3333333,6.59,7.86,5641.5795,7.74,59967.7,1.73,36929,0.81,93347.0,25247.0,48005.0,73782.0,112103.0,191499.0
1990,130.7,5.4,391.1916667,222.9583333,7.06,6.51,5963.1445,5.7,59199.72,-1.28,37593,0.86,94312.0,24752.0,46855.0,71683.0,109316.0,187619.0
1991,136.2,4.21,402.9416667,226.0666667,3.0,1.39,6158.12925,3.27,57470.47,-2.92,36746,-0.77,95669.0,23926.0,45605.0,70441.0,107855.0,183182.0
1992,140.3,3.01,404.475,231.3833333,0.38,2.35,6520.32725,5.88,57025.69,-0.77,37304,0.9,96426.0,23243.0,44531.0,69914.0,107005.0,182662.0
1993,144.5,2.99,413.4666667,241.95,2.22,4.57,6858.5585,5.19,56721.2,-0.53,38029,-0.13,97107.0,23225.0,44202.0,69481.0,108002.0,187417.0
1994,148.2,2.56,432.1,246.3833333,4.51,1.83,7287.2365,6.25,57380.06,1.16,38852,0.7,98990.0,23447.0,44008.0,70029.0,109743.0,191787.0
1995,152.4,2.83,443.7416667,251.6833333,2.69,2.15,7639.74925,4.84,59177.9,3.13,39729,0.09,99627.0,24455.0,45706.0,71329.0,110596.0,191901.0
1996,156.9,2.95,461.875,269.6833333,4.09,7.15,8073.12175,5.67,60037.33,1.45,40292,0.5,101018.0,24360.0,45791.0,72589.0,112193.0,197185.0
