Year,CPI,percentage_cpi,PCE_food_billions_of_dollars,PCE_energy_goods_services_billions_of_dollars,PCE_food_percentage,PCE_energy_goods_services_percentage,GDP_in_Billions,percentage_gdp,median_household_income_2021,percentage_median_income,GDP,percentage_percap_gdp,sample_thousands,first_percentile,second_percentile,third_percentile,fourth_percentile,top_five_percent,cpi_change,pce_food_change,pce_energy_change,gdp_change,median_income_change,gdp_percap_change,first_change,second_change,third_change,fourth_change,top_five_change
1984,103.9,,291.1,193.0916667,,,4037.614,,54744.62,,31762,,86789,23664,44289,68235,103076,170631,0,0,0,0,0,0,0,0,0,0,0
1985,107.6,3.56,302.95,199.5416667,4.07,3.34,4338.9805,7.46,55768.24,1.87,32920,0.78,88458,23911,44989,69694,104818,173192,3.7,11.85,6.45,301.3665,1023.62,1158,247,700,1459,1742,2561
1986,109.6,1.86,316.4166667,178.5833333,4.45,-10.5,4579.6325,5.55,57777.04,3.6,33972,0.73,89479,24197,46284,71832,108583,182079,5.7,25.3166667,-14.5083334,542.0185,3032.42,2210,533,1995,3597,5507,11448
1987,113.6,3.65,324.3166667,185.3416667,2.5,3.78,4855.21625,6.02,58467.08,1.19,34585,0.55,91124,24605,46704,72905,110184,184375,9.7,33.2166667,-7.75,817.60225,3722.46,2823,941,2415,4670,7108,13744
1988,118.3,4.14,342.7916667,194.075,5.7,4.71,5236.438,7.85,58949.27,0.82,35728,0.32,92830,24901,47037,73303,110685,187359,14.4,51.6916667,0.9833333,1198.824,4204.65,3966,1237,2748,5068,7609,16728
1989,124,4.82,365.3916667,209.3333333,6.59,7.86,5641.5795,7.74,59967.7,1.73,36929,0.81,93347,25247,48005,73782,112103,191499,20.1,74.2916667,16.2416666,1603.9655,5223.08,5167,1583,3716,5547,9027,20868
1990,130.7,5.4,391.1916667,222.9583333,7.06,6.51,5963.1445,5.7,59199.72,-1.28,37593,0.86,94312,24752,46855,71683,109316,187619,26.8,100.0916667,29.8666666,1925.5305,4455.1,5831,1088,2566,3448,6240,16988
1991,136.2,4.21,402.9416667,226.0666667,3,1.39,6158.12925,3.27,57470.47,-2.92,36746,-0.77,95669,23926,45605,70441,107855,183182,32.3,111.8416667,32.975,2120.51525,2725.85,4984,262,1316,2206,4779,12551
1992,140.3,3.01,404.475,231.3833333,0.38,2.35,6520.32725,5.88,57025.69,-0.77,37304,0.9,96426,23243,44531,69914,107005,182662,36.4,113.375,38.2916666,2482.71325,2281.07,5542,-421,242,1679,3929,12031
1993,144.5,2.99,413.4666667,241.95,2.22,4.57,6858.5585,5.19,56721.2,-0.53,38029,-0.13,97107,23225,44202,69481,108002,187417,40.6,122.3666667,48.8583333,2820.9445,1976.58,6267,-439,-87,1246,4926,16786
1994,148.2,2.56,432.1,246.3833333,4.51,1.83,7287.2365,6.25,57380.06,1.16,38852,0.7,98990,23447,44008,70029,109743,191787,44.3,141,53.2916666,3249.6225,2635.44,7090,-217,-281,1794,6667,21156
1995,152.4,2.83,443.7416667,251.6833333,2.69,2.15,7639.74925,4.84,59177.9,3.13,39729,0.09,99627,24455,45706,71329,110596,191901,48.5,152.6416667,58.5916666,3602.13525,4433.28,7967,791,1417,3094,7520,21270
1996,156.9,2.95,461.875,269.6833333,4.09,7.15,8073.12175,5.67,60037.33,1.45,40292,0.5,101018,24360,45791,72589,112193,197185,53,170.775,76.5916666,4035.50775,5292.71,8530,696,1502,4354,9117,26554
