Year,CPI,percentage_cpi
1984,103.9,
1985,107.6,3.56
1986,109.6,1.86
1987,113.6,3.65
1988,118.3,4.14
1989,124.0,4.82
1990,130.7,5.4
1991,136.2,4.21
1992,140.3,3.01
1993,144.5,2.99
1994,148.2,2.56
1995,152.4,2.83
1996,156.9,2.95
1997,160.5,2.29
1998,163.0,1.56
1999,166.6,2.21
2000,172.2,3.36
2001,177.1,2.85
2002,179.9,1.58
2003,184.0,2.28
2004,188.9,2.66
2005,195.3,3.39
2006,201.6,3.23
2007,207.342,2.85
2008,215.303,3.84
2009,214.537,-0.36
2010,218.05599999999998,1.64
2011,224.93900000000002,3.16
2012,229.59400000000002,2.07
2013,232.957,1.46
2014,236.736,1.62
2015,237.017,0.12
2016,240.007,1.26
2017,245.12,2.13
2018,251.107,2.44
2019,255.657,1.81
2020,258.811,1.23
